wavelength,value
380,1.11
381,1.048
382,0.9860000000000001
383,0.924
384,0.8620000000000001
385,0.8
386,0.764
387,0.728
388,0.6920000000000001
389,0.656
390,0.62
391,0.61
392,0.6
393,0.59
394,0.58
395,0.57
396,0.752
397,0.9339999999999999
398,1.1159999999999999
399,1.298
400,1.48
401,3.616
402,5.752000000000001
403,7.888
404,10.024000000000001
405,12.16
406,10.152000000000001
407,8.144
408,6.136
409,4.128
410,2.12
411,2.236
412,2.3520000000000003
413,2.468
414,2.584
415,2.7
416,2.9080000000000004
417,3.116
418,3.3240000000000003
419,3.532
420,3.74
421,4.0200000000000005
422,4.3
423,4.58
424,4.859999999999999
425,5.14
426,5.462
427,5.784
428,6.106
429,6.428
430,6.75
431,12.278
432,17.806
433,23.334000000000003
434,28.862000000000002
435,34.39
436,30.484
437,26.578
438,22.672
439,18.766
440,14.86
441,13.968
442,13.076
443,12.184
444,11.292
445,10.4
446,10.472
447,10.544
448,10.616
449,10.688
450,10.76
451,10.741999999999999
452,10.724
453,10.706
454,10.688
455,10.67
456,10.558
457,10.446
458,10.334
459,10.222
460,10.11
461,9.942
462,9.774
463,9.606
464,9.437999999999999
465,9.27
466,9.074
467,8.878
468,8.681999999999999
469,8.485999999999999
470,8.29
471,8.09
472,7.89
473,7.6899999999999995
474,7.49
475,7.29
476,7.414
477,7.538
478,7.662
479,7.7860000000000005
480,7.91
481,9.656
482,11.402000000000001
483,13.148
484,14.894
485,16.64
486,16.658
487,16.676000000000002
488,16.694
489,16.712
490,16.73
491,15.472
492,14.214
493,12.956
494,11.698
495,10.44
496,9.54
497,8.64
498,7.74
499,6.84
500,5.94
501,5.42
502,4.9
503,4.38
504,3.86
505,3.34
506,3.142
507,2.944
508,2.746
509,2.548
510,2.35
511,2.2560000000000002
512,2.162
513,2.068
514,1.974
515,1.88
516,1.8219999999999998
517,1.764
518,1.706
519,1.6480000000000001
520,1.59
521,1.566
522,1.542
523,1.518
524,1.494
525,1.47
526,1.536
527,1.602
528,1.668
529,1.734
530,1.8
531,2.582
532,3.364
533,4.146
534,4.928
535,5.71
536,12.764
537,19.817999999999998
538,26.872
539,33.925999999999995
540,40.98
541,47.522
542,54.06399999999999
543,60.605999999999995
544,67.148
545,73.69
546,65.67399999999999
547,57.658
548,49.641999999999996
549,41.626
550,33.61
551,28.536
552,23.462
553,18.387999999999998
554,13.314
555,8.24
556,7.268
557,6.296
558,5.324
559,4.352
560,3.38
561,3.198
562,3.016
563,2.834
564,2.652
565,2.47
566,2.4040000000000004
567,2.338
568,2.2720000000000002
569,2.206
570,2.14
571,2.684
572,3.228
573,3.7720000000000002
574,4.316000000000001
575,4.86
576,6.178
577,7.496
578,8.814
579,10.132
580,11.45
581,12.117999999999999
582,12.786
583,13.453999999999999
584,14.122
585,14.79
586,14.264
587,13.738
588,13.212
589,12.686
590,12.16
591,11.522
592,10.884
593,10.246
594,9.608
595,8.97
596,8.48
597,7.99
598,7.5
599,7.01
600,6.52
601,6.878
602,7.236
603,7.594
604,7.952
605,8.31
606,15.472
607,22.634
608,29.796
609,36.958
610,44.12
611,42.205999999999996
612,40.291999999999994
613,38.378
614,36.464
615,34.55
616,30.058
617,25.566
618,21.073999999999998
619,16.582
620,12.09
621,12.102
622,12.114
623,12.126
624,12.138
625,12.15
626,11.824
627,11.498
628,11.172
629,10.846
630,10.52
631,9.302
632,8.084
633,6.866
634,5.648
635,4.43
636,3.9339999999999997
637,3.4379999999999997
638,2.942
639,2.446
640,1.95
641,1.998
642,2.046
643,2.094
644,2.142
645,2.19
646,2.39
647,2.59
648,2.79
649,2.99
650,3.19
651,3.106
652,3.022
653,2.938
654,2.854
655,2.77
656,2.674
657,2.578
658,2.482
659,2.386
660,2.29
661,2.232
662,2.174
663,2.116
664,2.058
665,2.0
666,1.904
667,1.808
668,1.712
669,1.616
670,1.52
671,1.486
672,1.452
673,1.4180000000000001
674,1.3840000000000001
675,1.35
676,1.374
677,1.3980000000000001
678,1.422
679,1.446
680,1.47
681,1.534
682,1.598
683,1.662
684,1.726
685,1.79
686,1.78
687,1.77
688,1.76
689,1.75
690,1.74
691,1.596
692,1.452
693,1.308
694,1.1640000000000001
695,1.02
696,1.044
697,1.068
698,1.0919999999999999
699,1.1159999999999999
700,1.14
701,1.5759999999999998
702,2.0119999999999996
703,2.4479999999999995
704,2.8839999999999995
705,3.32
706,3.554
707,3.788
708,4.022
709,4.256
710,4.49
711,4.002
712,3.5140000000000002
713,3.026
714,2.538
715,2.05
716,1.738
717,1.426
718,1.1139999999999999
719,0.802
720,0.49
721,0.44
722,0.39
723,0.33999999999999997
724,0.29
725,0.24
726,0.23399999999999999
727,0.22799999999999998
728,0.222
729,0.216
730,0.21
731,0.21
732,0.21
733,0.21
734,0.21
735,0.21
736,0.216
737,0.222
738,0.22799999999999998
739,0.23399999999999999
740,0.24
741,0.24
742,0.24
743,0.24
744,0.24
745,0.24
746,0.23399999999999999
747,0.22799999999999998
748,0.222
749,0.216
750,0.21
751,0.20199999999999999
752,0.194
753,0.186
754,0.178
755,0.17
756,0.17800000000000002
757,0.186
758,0.194
759,0.202
760,0.21
761,0.212
762,0.214
763,0.216
764,0.218
765,0.22
766,0.21
767,0.2
768,0.19
769,0.18
770,0.17
771,0.16
772,0.15
773,0.14
774,0.13
775,0.12
776,0.11399999999999999
777,0.108
778,0.102
779,0.096
780,0.09
