wavelength,value
380,0.91
381,0.854
382,0.798
383,0.742
384,0.6859999999999999
385,0.63
386,0.596
387,0.562
388,0.528
389,0.494
390,0.46
391,0.442
392,0.424
393,0.406
394,0.388
395,0.37
396,0.554
397,0.738
398,0.9219999999999999
399,1.1059999999999999
400,1.29
401,3.568
402,5.846
403,8.124
404,10.402000000000001
405,12.68
406,10.462
407,8.244
408,6.026
409,3.808
410,1.59
411,1.6300000000000001
412,1.6700000000000002
413,1.71
414,1.75
415,1.79
416,1.924
417,2.058
418,2.192
419,2.326
420,2.46
421,2.634
422,2.808
423,2.982
424,3.156
425,3.33
426,3.5620000000000003
427,3.794
428,4.026
429,4.258
430,4.49
431,10.379999999999999
432,16.269999999999996
433,22.159999999999997
434,28.049999999999997
435,33.94
436,29.578
437,25.216
438,20.854
439,16.492
440,12.13
441,11.094000000000001
442,10.058
443,9.022
444,7.986000000000001
445,6.95
446,6.998
447,7.046
448,7.094
449,7.142
450,7.19
451,7.176
452,7.162
453,7.148000000000001
454,7.134
455,7.12
456,7.04
457,6.96
458,6.88
459,6.8
460,6.72
461,6.601999999999999
462,6.484
463,6.366
464,6.248
465,6.13
466,5.9959999999999996
467,5.862
468,5.728
469,5.594
470,5.46
471,5.326
472,5.192
473,5.058
474,4.924
475,4.79
476,4.964
477,5.138
478,5.312
479,5.486
480,5.66
481,7.386
482,9.112
483,10.838
484,12.564
485,14.29
486,14.424
487,14.558
488,14.692
489,14.826
490,14.96
491,13.762
492,12.564
493,11.366000000000001
494,10.168000000000001
495,8.97
496,8.120000000000001
497,7.2700000000000005
498,6.42
499,5.57
500,4.72
501,4.242
502,3.764
503,3.286
504,2.808
505,2.33
506,2.158
507,1.986
508,1.814
509,1.642
510,1.47
511,1.396
512,1.322
513,1.248
514,1.174
515,1.1
516,1.058
517,1.016
518,0.9740000000000001
519,0.932
520,0.89
521,0.878
522,0.866
523,0.854
524,0.842
525,0.83
526,0.8999999999999999
527,0.97
528,1.04
529,1.1099999999999999
530,1.18
531,1.924
532,2.668
533,3.4120000000000004
534,4.156000000000001
535,4.9
536,11.838000000000001
537,18.776000000000003
538,25.714000000000002
539,32.652
540,39.59
541,46.24
542,52.89
543,59.540000000000006
544,66.19
545,72.84
546,64.794
547,56.748000000000005
548,48.702
549,40.656
550,32.61
551,27.592
552,22.573999999999998
553,17.556
554,12.538
555,7.52
556,6.582
557,5.644
558,4.7059999999999995
559,3.768
560,2.83
561,2.656
562,2.482
563,2.308
564,2.134
565,1.96
566,1.902
567,1.8439999999999999
568,1.786
569,1.728
570,1.67
571,2.222
572,2.774
573,3.3259999999999996
574,3.8779999999999997
575,4.43
576,5.8
577,7.17
578,8.54
579,9.91
580,11.28
581,11.975999999999999
582,12.671999999999999
583,13.368
584,14.064
585,14.76
586,14.354
587,13.948
588,13.542
589,13.136000000000001
590,12.73
591,12.132
592,11.534
593,10.936
594,10.338000000000001
595,9.74
596,9.258000000000001
597,8.776
598,8.294
599,7.812
600,7.33
601,7.808
602,8.286
603,8.764000000000001
604,9.242
605,9.72
606,18.830000000000002
607,27.940000000000005
608,37.050000000000004
609,46.160000000000004
610,55.27
611,52.732
612,50.194
613,47.656
614,45.117999999999995
615,42.58
616,36.699999999999996
617,30.82
618,24.939999999999998
619,19.06
620,13.18
621,13.176
622,13.172
623,13.168
624,13.164
625,13.16
626,12.98
627,12.8
628,12.62
629,12.44
630,12.26
631,10.83
632,9.4
633,7.97
634,6.54
635,5.11
636,4.502000000000001
637,3.894
638,3.286
639,2.678
640,2.07
641,2.1239999999999997
642,2.178
643,2.2319999999999998
644,2.286
645,2.34
646,2.588
647,2.836
648,3.084
649,3.332
650,3.58
651,3.466
652,3.352
653,3.238
654,3.1239999999999997
655,3.01
656,2.904
657,2.798
658,2.6919999999999997
659,2.586
660,2.48
661,2.412
662,2.344
663,2.2760000000000002
664,2.208
665,2.14
666,2.02
667,1.9000000000000001
668,1.78
669,1.6600000000000001
670,1.54
671,1.498
672,1.456
673,1.4140000000000001
674,1.372
675,1.33
676,1.356
677,1.3820000000000001
678,1.408
679,1.434
680,1.46
681,1.556
682,1.652
683,1.748
684,1.8439999999999999
685,1.94
686,1.952
687,1.964
688,1.976
689,1.988
690,2.0
691,1.84
692,1.68
693,1.52
694,1.3599999999999999
695,1.2
696,1.23
697,1.26
698,1.29
699,1.32
700,1.35
701,1.9
702,2.45
703,3.0
704,3.55
705,4.1
706,4.396
707,4.692
708,4.9879999999999995
709,5.284
710,5.58
711,4.966
712,4.352
713,3.7379999999999995
714,3.1239999999999997
715,2.51
716,2.122
717,1.7339999999999998
718,1.3459999999999996
719,0.9579999999999997
720,0.57
721,0.51
722,0.44999999999999996
723,0.39
724,0.33
725,0.27
726,0.262
727,0.254
728,0.24600000000000002
729,0.23800000000000002
730,0.23
731,0.226
732,0.222
733,0.218
734,0.214
735,0.21
736,0.216
737,0.222
738,0.22799999999999998
739,0.23399999999999999
740,0.24
741,0.24
742,0.24
743,0.24
744,0.24
745,0.24
746,0.23199999999999998
747,0.224
748,0.216
749,0.20800000000000002
750,0.2
751,0.20800000000000002
752,0.216
753,0.224
754,0.23199999999999998
755,0.24
756,0.256
757,0.272
758,0.288
759,0.304
760,0.32
761,0.308
762,0.296
763,0.28400000000000003
764,0.272
765,0.26
766,0.24000000000000002
767,0.22
768,0.2
769,0.18
770,0.16
771,0.152
772,0.144
773,0.136
774,0.128
775,0.12
776,0.11399999999999999
777,0.108
778,0.102
779,0.096
780,0.09
