wavelength,value
380,0.82
381,0.86
382,0.9
383,0.94
384,0.98
385,1.02
386,1.068
387,1.116
388,1.164
389,1.212
390,1.26
391,1.296
392,1.332
393,1.3679999999999999
394,1.404
395,1.44
396,1.666
397,1.892
398,2.118
399,2.344
400,2.57
401,4.927999999999999
402,7.286
403,9.643999999999998
404,12.001999999999999
405,14.36
406,12.027999999999999
407,9.696
408,7.364
409,5.032
410,2.7
411,2.6500000000000004
412,2.6
413,2.5500000000000003
414,2.5
415,2.45
416,2.5060000000000002
417,2.5620000000000003
418,2.618
419,2.674
420,2.73
421,2.784
422,2.838
423,2.892
424,2.946
425,3.0
426,3.056
427,3.112
428,3.1679999999999997
429,3.2239999999999998
430,3.28
431,8.994
432,14.708
433,20.422
434,26.136000000000003
435,31.85
436,27.374000000000002
437,22.898
438,18.421999999999997
439,13.945999999999998
440,9.47
441,8.38
442,7.29
443,6.199999999999999
444,5.109999999999999
445,4.02
446,4.066
447,4.112
448,4.1579999999999995
449,4.204
450,4.25
451,4.288
452,4.3260000000000005
453,4.364
454,4.402
455,4.44
456,4.470000000000001
457,4.5
458,4.53
459,4.56
460,4.59
461,4.616
462,4.6419999999999995
463,4.668
464,4.694
465,4.72
466,4.736
467,4.752
468,4.768
469,4.784
470,4.8
471,4.812
472,4.824
473,4.836
474,4.848
475,4.86
476,4.862
477,4.864
478,4.8660000000000005
479,4.868
480,4.87
481,4.866
482,4.862
483,4.858
484,4.854
485,4.85
486,4.856
487,4.862
488,4.867999999999999
489,4.874
490,4.88
491,4.858
492,4.835999999999999
493,4.814
494,4.792
495,4.77
496,4.75
497,4.7299999999999995
498,4.71
499,4.6899999999999995
500,4.67
501,4.66
502,4.65
503,4.64
504,4.63
505,4.62
506,4.62
507,4.62
508,4.62
509,4.62
510,4.62
511,4.642
512,4.664000000000001
513,4.686
514,4.708
515,4.73
516,4.782
517,4.8340000000000005
518,4.886
519,4.938000000000001
520,4.99
521,5.088
522,5.186
523,5.284000000000001
524,5.382000000000001
525,5.48
526,5.634
527,5.788
528,5.942
529,6.096
530,6.25
531,6.468
532,6.686
533,6.904
534,7.122
535,7.34
536,7.628
537,7.9159999999999995
538,8.203999999999999
539,8.491999999999999
540,8.78
541,11.788
542,14.796
543,17.804
544,20.811999999999998
545,23.82
546,22.284
547,20.748
548,19.212
549,17.676000000000002
550,16.14
551,15.83
552,15.52
553,15.21
554,14.9
555,14.59
556,14.998
557,15.405999999999999
558,15.814
559,16.221999999999998
560,16.63
561,17.002
562,17.374
563,17.746
564,18.118
565,18.49
566,18.782
567,19.073999999999998
568,19.366
569,19.657999999999998
570,19.95
571,20.582
572,21.214
573,21.846
574,22.477999999999998
575,23.11
576,23.426
577,23.742
578,24.058
579,24.374000000000002
580,24.69
581,24.034000000000002
582,23.378
583,22.722
584,22.066
585,21.41
586,21.298000000000002
587,21.186
588,21.074
589,20.962
590,20.85
591,20.666
592,20.482
593,20.298000000000002
594,20.114
595,19.93
596,19.678
597,19.426000000000002
598,19.174
599,18.922
600,18.67
601,18.380000000000003
602,18.09
603,17.8
604,17.509999999999998
605,17.22
606,16.906
607,16.592
608,16.278
609,15.964
610,15.65
611,15.328
612,15.006
613,14.684
614,14.362
615,14.04
616,13.722
617,13.404
618,13.085999999999999
619,12.767999999999999
620,12.45
621,12.149999999999999
622,11.85
623,11.549999999999999
624,11.25
625,10.95
626,10.661999999999999
627,10.373999999999999
628,10.086
629,9.798
630,9.51
631,9.262
632,9.014
633,8.766
634,8.517999999999999
635,8.27
636,8.038
637,7.806
638,7.574
639,7.3420000000000005
640,7.11
641,6.906000000000001
642,6.702
643,6.498
644,6.294
645,6.09
646,5.9159999999999995
647,5.742
648,5.568
649,5.394
650,5.22
651,5.066
652,4.912
653,4.758
654,4.604
655,4.45
656,4.32
657,4.19
658,4.06
659,3.9299999999999997
660,3.8
661,3.686
662,3.572
663,3.4579999999999997
664,3.344
665,3.23
666,3.134
667,3.038
668,2.942
669,2.846
670,2.75
671,2.666
672,2.582
673,2.498
674,2.414
675,2.33
676,2.262
677,2.194
678,2.126
679,2.058
680,1.99
681,1.932
682,1.8739999999999999
683,1.816
684,1.758
685,1.7
686,1.67
687,1.64
688,1.61
689,1.58
690,1.55
691,1.494
692,1.438
693,1.3820000000000001
694,1.326
695,1.27
696,1.234
697,1.198
698,1.1620000000000001
699,1.1260000000000001
700,1.09
701,1.064
702,1.038
703,1.012
704,0.986
705,0.96
706,0.9339999999999999
707,0.9079999999999999
708,0.882
709,0.856
710,0.83
711,0.8059999999999999
712,0.7819999999999999
713,0.758
714,0.734
715,0.71
716,0.692
717,0.6739999999999999
718,0.656
719,0.638
720,0.62
721,0.604
722,0.588
723,0.5720000000000001
724,0.556
725,0.54
726,0.53
727,0.52
728,0.51
729,0.5
730,0.49
731,0.484
732,0.478
733,0.47200000000000003
734,0.466
735,0.46
736,0.454
737,0.448
738,0.442
739,0.436
740,0.43
741,0.422
742,0.414
743,0.406
744,0.398
745,0.39
746,0.39
747,0.39
748,0.39
749,0.39
750,0.39
751,0.382
752,0.374
753,0.366
754,0.358
755,0.35
756,0.356
757,0.362
758,0.368
759,0.374
760,0.38
761,0.382
762,0.384
763,0.386
764,0.388
765,0.39
766,0.378
767,0.366
768,0.35400000000000004
769,0.342
770,0.33
771,0.32
772,0.31
773,0.30000000000000004
774,0.29000000000000004
775,0.28
776,0.266
777,0.252
778,0.23800000000000002
779,0.224
780,0.21
