wavelength,value
380,1.05
381,1.102
382,1.1540000000000001
383,1.206
384,1.258
385,1.31
386,1.374
387,1.438
388,1.502
389,1.5659999999999998
390,1.63
391,1.684
392,1.738
393,1.7919999999999998
394,1.8459999999999999
395,1.9
396,2.142
397,2.384
398,2.626
399,2.868
400,3.11
401,5.448
402,7.786
403,10.124
404,12.462
405,14.8
406,12.526
407,10.252
408,7.978000000000001
409,5.704000000000001
410,3.43
411,3.404
412,3.378
413,3.352
414,3.326
415,3.3
416,3.376
417,3.452
418,3.528
419,3.604
420,3.68
421,3.758
422,3.8360000000000003
423,3.914
424,3.9920000000000004
425,4.07
426,4.146
427,4.222
428,4.298
429,4.3740000000000006
430,4.45
431,10.082
432,15.713999999999999
433,21.346
434,26.977999999999998
435,32.61
436,28.236
437,23.862000000000002
438,19.488
439,15.114
440,10.74
441,9.688
442,8.636
443,7.584
444,6.532
445,5.48
446,5.54
447,5.6000000000000005
448,5.66
449,5.720000000000001
450,5.78
451,5.83
452,5.88
453,5.930000000000001
454,5.98
455,6.03
456,6.074
457,6.118
458,6.162
459,6.206
460,6.25
461,6.282
462,6.314
463,6.346
464,6.378
465,6.41
466,6.432
467,6.454
468,6.476
469,6.497999999999999
470,6.52
471,6.532
472,6.544
473,6.556
474,6.568
475,6.58
476,6.582
477,6.584
478,6.586
479,6.588
480,6.59
481,6.584
482,6.577999999999999
483,6.572
484,6.566
485,6.56
486,6.56
487,6.56
488,6.56
489,6.56
490,6.56
491,6.532
492,6.504
493,6.476
494,6.4479999999999995
495,6.42
496,6.392
497,6.364
498,6.336
499,6.308
500,6.28
501,6.264
502,6.248
503,6.232
504,6.216
505,6.2
506,6.198
507,6.196000000000001
508,6.194
509,6.192
510,6.19
511,6.212000000000001
512,6.234
513,6.256
514,6.278
515,6.3
516,6.359999999999999
517,6.42
518,6.4799999999999995
519,6.54
520,6.6
521,6.704
522,6.808
523,6.912
524,7.016
525,7.12
526,7.284
527,7.448
528,7.612
529,7.776000000000001
530,7.94
531,8.166
532,8.392
533,8.618
534,8.844000000000001
535,9.07
536,9.354000000000001
537,9.638
538,9.922
539,10.206
540,10.49
541,13.436
542,16.381999999999998
543,19.328
544,22.274
545,25.22
546,23.668
547,22.116
548,20.564
549,19.012
550,17.46
551,17.094
552,16.728
553,16.362000000000002
554,15.996
555,15.63
556,15.948
557,16.266
558,16.584
559,16.902
560,17.22
561,17.482
562,17.744
563,18.006
564,18.268
565,18.53
566,18.71
567,18.89
568,19.07
569,19.25
570,19.43
571,19.938
572,20.445999999999998
573,20.954
574,21.462
575,21.97
576,22.178
577,22.386
578,22.594
579,22.802
580,23.01
581,22.290000000000003
582,21.57
583,20.85
584,20.13
585,19.41
586,19.24
587,19.07
588,18.9
589,18.73
590,18.56
591,18.332
592,18.104
593,17.876
594,17.648
595,17.42
596,17.154
597,16.888
598,16.622
599,16.356
600,16.09
601,15.8
602,15.51
603,15.22
604,14.93
605,14.64
606,14.342
607,14.044
608,13.746
609,13.448
610,13.15
611,12.856
612,12.562
613,12.268
614,11.974
615,11.68
616,11.394
617,11.108
618,10.822
619,10.536
620,10.25
621,9.99
622,9.73
623,9.469999999999999
624,9.209999999999999
625,8.95
626,8.708
627,8.466
628,8.224
629,7.982
630,7.74
631,7.53
632,7.32
633,7.11
634,6.9
635,6.69
636,6.494000000000001
637,6.298
638,6.102
639,5.906
640,5.71
641,5.542
642,5.374
643,5.206
644,5.038
645,4.87
646,4.728
647,4.586
648,4.444
649,4.3020000000000005
650,4.16
651,4.038
652,3.916
653,3.794
654,3.6719999999999997
655,3.55
656,3.444
657,3.338
658,3.2319999999999998
659,3.126
660,3.02
661,2.93
662,2.84
663,2.75
664,2.6599999999999997
665,2.57
666,2.496
667,2.422
668,2.348
669,2.274
670,2.2
671,2.1340000000000003
672,2.068
673,2.0020000000000002
674,1.9360000000000002
675,1.87
676,1.816
677,1.762
678,1.7080000000000002
679,1.6540000000000001
680,1.6
681,1.554
682,1.508
683,1.4620000000000002
684,1.4160000000000001
685,1.37
686,1.354
687,1.338
688,1.322
689,1.306
690,1.29
691,1.242
692,1.194
693,1.1460000000000001
694,1.098
695,1.05
696,1.022
697,0.994
698,0.9660000000000001
699,0.9380000000000001
700,0.91
701,0.89
702,0.87
703,0.8500000000000001
704,0.8300000000000001
705,0.81
706,0.79
707,0.77
708,0.75
709,0.73
710,0.71
711,0.69
712,0.6699999999999999
713,0.65
714,0.63
715,0.61
716,0.596
717,0.582
718,0.5680000000000001
719,0.554
720,0.54
721,0.528
722,0.516
723,0.504
724,0.492
725,0.48
726,0.472
727,0.46399999999999997
728,0.456
729,0.448
730,0.44
731,0.438
732,0.436
733,0.434
734,0.432
735,0.43
736,0.424
737,0.418
738,0.41200000000000003
739,0.406
740,0.4
741,0.394
742,0.388
743,0.382
744,0.376
745,0.37
746,0.372
747,0.374
748,0.376
749,0.378
750,0.38
751,0.374
752,0.368
753,0.362
754,0.356
755,0.35
756,0.358
757,0.366
758,0.374
759,0.382
760,0.39
761,0.394
762,0.398
763,0.40199999999999997
764,0.40599999999999997
765,0.41
766,0.39399999999999996
767,0.378
768,0.362
769,0.346
770,0.33
771,0.316
772,0.302
773,0.28800000000000003
774,0.274
775,0.26
776,0.25
777,0.24
778,0.23
779,0.22
780,0.21
