wavelength,S0,S1,S2
380,63.40000000000003,38.49999999999999,3.0
385,64.59999999999994,36.74999999999997,2.1000000000000005
390,65.79999999999998,34.99999999999998,1.1999999999999997
395,80.29999999999997,39.20000000000002,0.0499999999999996
400,94.80000000000008,43.40000000000004,-1.0999999999999994
405,99.80000000000007,44.84999999999995,-0.7999999999999994
410,104.80000000000007,46.3,-0.49999999999999956
415,105.34999999999995,45.09999999999995,-0.6000000000000001
420,105.90000000000019,43.90000000000002,-0.7000000000000004
425,101.35000000000007,40.50000000000002,-0.9499999999999986
430,96.80000000000007,37.09999999999998,-1.2000000000000013
435,105.35000000000008,36.900000000000006,-1.899999999999999
440,113.90000000000015,36.70000000000001,-2.600000000000002
445,119.75000000000004,36.299999999999976,-2.750000000000001
450,125.59999999999998,35.900000000000034,-2.899999999999999
455,125.54999999999993,34.25000000000002,-2.850000000000002
460,125.49999999999999,32.599999999999994,-2.7999999999999994
465,123.4000000000001,30.249999999999993,-2.7
470,121.29999999999993,27.899999999999988,-2.5999999999999988
475,121.29999999999995,26.099999999999998,-2.6000000000000014
480,121.30000000000008,24.300000000000008,-2.5999999999999974
485,117.40000000000015,22.20000000000001,-2.200000000000001
490,113.50000000000006,20.10000000000001,-1.799999999999999
495,113.29999999999993,18.149999999999977,-1.6500000000000024
500,113.10000000000015,16.20000000000001,-1.4999999999999996
505,111.94999999999993,14.700000000000003,-1.4000000000000001
510,110.79999999999993,13.200000000000024,-1.3000000000000036
515,108.64999999999996,10.90000000000002,-1.2499999999999987
520,106.50000000000004,8.6,-1.199999999999999
525,107.65000000000008,7.350000000000003,-1.1000000000000008
530,108.80000000000005,6.099999999999996,-1.0000000000000004
535,107.04999999999995,5.150000000000001,-0.7499999999999996
540,105.30000000000004,4.199999999999996,-0.4999999999999998
545,104.84999999999987,3.0500000000000007,-0.3999999999999996
550,104.40000000000015,1.9000000000000006,-0.3000000000000001
555,102.20000000000007,0.9499999999999998,-0.14999999999999997
560,100.00000000000003,2.220446049250313e-16,1.6653345369377348e-16
565,98.00000000000007,-0.8000000000000003,0.09999999999999998
570,96.00000000000003,-1.6000000000000014,0.20000000000000018
575,95.54999999999991,-2.550000000000001,0.3500000000000004
580,95.10000000000004,-3.5000000000000027,0.5000000000000002
585,92.10000000000001,-3.4999999999999996,1.2999999999999994
590,89.09999999999997,-3.4999999999999987,2.1000000000000005
595,89.80000000000007,-4.65,2.649999999999998
600,90.49999999999997,-5.800000000000004,3.2000000000000006
605,90.40000000000002,-6.500000000000005,3.6500000000000066
610,90.29999999999998,-7.200000000000001,4.100000000000002
615,89.34999999999995,-7.900000000000002,4.400000000000004
620,88.40000000000013,-8.599999999999996,4.699999999999994
625,86.20000000000016,-9.049999999999999,4.900000000000004
630,84.0,-9.5,5.099999999999997
635,84.55,-10.200000000000006,5.899999999999997
640,85.10000000000004,-10.900000000000018,6.699999999999998
645,83.49999999999999,-10.800000000000006,7.0
650,81.9,-10.700000000000003,7.3000000000000025
655,82.24999999999991,-11.34999999999999,7.950000000000003
660,82.60000000000001,-11.999999999999996,8.600000000000009
665,83.75000000000009,-13.0,9.200000000000001
670,84.90000000000003,-14.000000000000005,9.799999999999999
675,83.10000000000001,-13.799999999999986,10.000000000000005
680,81.3,-13.600000000000001,10.200000000000001
685,76.60000000000001,-12.799999999999985,9.25
690,71.90000000000005,-11.999999999999991,8.30000000000001
695,73.09999999999991,-12.650000000000006,8.949999999999998
700,74.30000000000014,-13.299999999999983,9.599999999999996
705,75.34999999999994,-13.100000000000009,9.05000000000001
710,76.40000000000005,-12.900000000000022,8.499999999999993
715,69.84999999999995,-11.750000000000014,7.7500000000000036
720,63.30000000000005,-10.60000000000001,7.0
725,67.5,-11.099999999999982,7.3
730,71.7,-11.600000000000009,7.600000000000001
735,74.34999999999995,-11.899999999999999,7.8000000000000025
740,77.00000000000004,-12.200000000000005,7.999999999999989
745,71.10000000000001,-11.19999999999999,7.349999999999996
750,65.19999999999997,-10.19999999999999,6.700000000000005
755,56.450000000000024,-8.999999999999993,5.950000000000009
760,47.69999999999991,-7.799999999999989,5.199999999999996
765,58.14999999999997,-9.499999999999998,6.3000000000000025
770,68.6,-11.199999999999985,7.400000000000006
775,66.80000000000001,-10.800000000000018,7.099999999999995
780,64.99999999999996,-10.4,6.799999999999999
