wavelength,value
380,1.18
381,1.24
382,1.3
383,1.3599999999999999
384,1.42
385,1.48
386,1.552
387,1.624
388,1.696
389,1.768
390,1.84
391,1.9020000000000001
392,1.964
393,2.026
394,2.088
395,2.15
396,2.408
397,2.666
398,2.924
399,3.182
400,3.44
401,5.890000000000001
402,8.34
403,10.790000000000001
404,13.24
405,15.69
406,13.322
407,10.954
408,8.586
409,6.218
410,3.85
411,3.8280000000000003
412,3.806
413,3.7840000000000003
414,3.762
415,3.74
416,3.83
417,3.9200000000000004
418,4.010000000000001
419,4.1000000000000005
420,4.19
421,4.276000000000001
422,4.362
423,4.448
424,4.534
425,4.62
426,4.708
427,4.796
428,4.8839999999999995
429,4.9719999999999995
430,5.06
431,11.044
432,17.028
433,23.012
434,28.996
435,34.98
436,30.345999999999997
437,25.712
438,21.078000000000003
439,16.444000000000003
440,11.81
441,10.702
442,9.594000000000001
443,8.486
444,7.378
445,6.27
446,6.342
447,6.414
448,6.486
449,6.558
450,6.63
451,6.6899999999999995
452,6.75
453,6.81
454,6.87
455,6.93
456,6.982
457,7.034
458,7.086
459,7.138
460,7.19
461,7.232
462,7.274
463,7.316000000000001
464,7.3580000000000005
465,7.4
466,7.428
467,7.456
468,7.484
469,7.5120000000000005
470,7.54
471,7.556
472,7.572
473,7.588
474,7.604
475,7.62
476,7.626
477,7.632000000000001
478,7.638
479,7.644
480,7.65
481,7.644
482,7.638
483,7.632000000000001
484,7.626
485,7.62
486,7.62
487,7.62
488,7.62
489,7.62
490,7.62
491,7.586
492,7.5520000000000005
493,7.518
494,7.484
495,7.45
496,7.416
497,7.382000000000001
498,7.348
499,7.314
500,7.28
501,7.2540000000000004
502,7.228000000000001
503,7.202
504,7.176
505,7.15
506,7.13
507,7.11
508,7.09
509,7.07
510,7.05
511,7.048
512,7.046
513,7.044
514,7.042
515,7.04
516,7.064
517,7.088
518,7.112
519,7.136
520,7.16
521,7.222
522,7.284
523,7.346
524,7.4079999999999995
525,7.47
526,7.584
527,7.6979999999999995
528,7.811999999999999
529,7.925999999999999
530,8.04
531,8.208
532,8.376
533,8.544
534,8.712
535,8.88
536,9.106
537,9.332
538,9.558
539,9.784
540,10.01
541,12.984
542,15.957999999999998
543,18.932
544,21.906
545,24.88
546,23.232
547,21.584
548,19.936
549,18.288
550,16.64
551,16.23
552,15.82
553,15.41
554,15.0
555,14.59
556,14.904
557,15.218
558,15.532
559,15.846
560,16.16
561,16.44
562,16.72
563,17.0
564,17.279999999999998
565,17.56
566,17.772
567,17.983999999999998
568,18.196
569,18.408
570,18.62
571,19.19
572,19.76
573,20.33
574,20.9
575,21.47
576,21.733999999999998
577,21.997999999999998
578,22.262
579,22.526
580,22.79
581,22.09
582,21.39
583,20.689999999999998
584,19.99
585,19.29
586,19.163999999999998
587,19.038
588,18.912
589,18.786
590,18.66
591,18.474
592,18.288
593,18.102
594,17.916
595,17.73
596,17.492
597,17.254
598,17.016
599,16.778
600,16.54
601,16.274
602,16.008
603,15.742
604,15.476
605,15.21
606,14.928
607,14.646
608,14.364
609,14.082
610,13.8
611,13.512
612,13.224
613,12.936
614,12.648
615,12.36
616,12.078
617,11.796
618,11.514
619,11.232
620,10.95
621,10.69
622,10.43
623,10.17
624,9.91
625,9.65
626,9.4
627,9.15
628,8.9
629,8.65
630,8.4
631,8.184000000000001
632,7.968
633,7.752000000000001
634,7.5360000000000005
635,7.32
636,7.118
637,6.916
638,6.7139999999999995
639,6.512
640,6.31
641,6.1339999999999995
642,5.957999999999999
643,5.782
644,5.606
645,5.43
646,5.279999999999999
647,5.13
648,4.9799999999999995
649,4.83
650,4.68
651,4.548
652,4.4159999999999995
653,4.284
654,4.151999999999999
655,4.02
656,3.9059999999999997
657,3.792
658,3.678
659,3.564
660,3.45
661,3.3520000000000003
662,3.254
663,3.156
664,3.058
665,2.96
666,2.878
667,2.796
668,2.714
669,2.6319999999999997
670,2.55
671,2.4779999999999998
672,2.4059999999999997
673,2.334
674,2.262
675,2.19
676,2.13
677,2.07
678,2.01
679,1.95
680,1.89
681,1.8399999999999999
682,1.7899999999999998
683,1.74
684,1.69
685,1.64
686,1.6179999999999999
687,1.5959999999999999
688,1.574
689,1.552
690,1.53
691,1.478
692,1.426
693,1.374
694,1.322
695,1.27
696,1.236
697,1.202
698,1.1680000000000001
699,1.1340000000000001
700,1.1
701,1.078
702,1.056
703,1.034
704,1.012
705,0.99
706,0.968
707,0.946
708,0.924
709,0.902
710,0.88
711,0.856
712,0.832
713,0.808
714,0.784
715,0.76
716,0.744
717,0.728
718,0.7120000000000001
719,0.6960000000000001
720,0.68
721,0.666
722,0.652
723,0.638
724,0.624
725,0.61
726,0.6
727,0.59
728,0.5800000000000001
729,0.5700000000000001
730,0.56
731,0.556
732,0.552
733,0.548
734,0.544
735,0.54
736,0.534
737,0.528
738,0.522
739,0.516
740,0.51
741,0.502
742,0.494
743,0.486
744,0.478
745,0.47
746,0.47
747,0.47
748,0.47
749,0.47
750,0.47
751,0.46199999999999997
752,0.45399999999999996
753,0.446
754,0.438
755,0.43
756,0.436
757,0.442
758,0.448
759,0.454
760,0.46
761,0.462
762,0.464
763,0.46599999999999997
764,0.46799999999999997
765,0.47
766,0.45599999999999996
767,0.442
768,0.428
769,0.41400000000000003
770,0.4
771,0.386
772,0.372
773,0.35800000000000004
774,0.34400000000000003
775,0.33
776,0.318
777,0.306
778,0.29400000000000004
779,0.28200000000000003
780,0.27
