wavelength,value
380,2.56
381,2.684
382,2.8080000000000003
383,2.932
384,3.056
385,3.18
386,3.3120000000000003
387,3.444
388,3.576
389,3.708
390,3.84
391,3.9779999999999998
392,4.116
393,4.2540000000000004
394,4.392
395,4.53
396,4.854
397,5.178
398,5.502000000000001
399,5.8260000000000005
400,6.15
401,8.794
402,11.438
403,14.082
404,16.726
405,19.37
406,16.970000000000002
407,14.57
408,12.170000000000002
409,9.770000000000001
410,7.37
411,7.306
412,7.242
413,7.178
414,7.114
415,7.05
416,7.1819999999999995
417,7.314
418,7.446
419,7.578
420,7.71
421,7.85
422,7.99
423,8.13
424,8.27
425,8.41
426,8.558
427,8.706
428,8.854000000000001
429,9.002
430,9.15
431,16.148
432,23.146
433,30.144000000000002
434,37.142
435,44.14
436,38.816
437,33.492000000000004
438,28.168
439,22.844
440,17.52
441,16.286
442,15.052
443,13.818
444,12.584
445,11.35
446,11.48
447,11.61
448,11.74
449,11.87
450,12.0
451,12.116
452,12.232
453,12.348
454,12.464
455,12.58
456,12.68
457,12.78
458,12.88
459,12.98
460,13.08
461,13.154
462,13.228
463,13.302
464,13.376
465,13.45
466,13.501999999999999
467,13.554
468,13.606
469,13.658000000000001
470,13.71
471,13.744000000000002
472,13.778
473,13.812000000000001
474,13.846
475,13.88
476,13.894
477,13.908
478,13.922
479,13.936
480,13.95
481,13.946
482,13.942
483,13.937999999999999
484,13.934
485,13.93
486,13.908
487,13.886
488,13.864
489,13.842
490,13.82
491,13.784
492,13.748000000000001
493,13.712
494,13.676
495,13.64
496,13.598
497,13.556000000000001
498,13.514
499,13.472
500,13.43
501,13.394
502,13.358
503,13.322
504,13.286
505,13.25
506,13.216
507,13.182
508,13.148
509,13.114
510,13.08
511,13.05
512,13.02
513,12.99
514,12.959999999999999
515,12.93
516,12.9
517,12.87
518,12.84
519,12.809999999999999
520,12.78
521,12.744
522,12.708
523,12.671999999999999
524,12.636
525,12.6
526,12.568
527,12.536
528,12.504
529,12.472
530,12.44
531,12.418
532,12.395999999999999
533,12.374
534,12.352
535,12.33
536,12.316
537,12.302
538,12.288
539,12.274
540,12.26
541,15.712
542,19.163999999999998
543,22.616
544,26.067999999999998
545,29.52
546,27.026
547,24.532
548,22.038
549,19.544
550,17.05
551,16.128
552,15.206
553,14.284
554,13.362
555,12.44
556,12.468
557,12.496
558,12.524
559,12.552
560,12.58
561,12.608
562,12.636000000000001
563,12.664
564,12.692
565,12.72
566,12.742
567,12.764000000000001
568,12.786
569,12.808
570,12.83
571,13.356
572,13.882
573,14.408000000000001
574,14.934000000000001
575,15.46
576,15.718
577,15.976
578,16.234
579,16.492
580,16.75
581,15.966
582,15.182
583,14.398
584,13.614
585,12.83
586,12.798
587,12.766
588,12.734
589,12.702
590,12.67
591,12.626
592,12.581999999999999
593,12.538
594,12.494
595,12.45
596,12.398
597,12.346
598,12.293999999999999
599,12.241999999999999
600,12.19
601,12.129999999999999
602,12.07
603,12.01
604,11.950000000000001
605,11.89
606,11.832
607,11.774000000000001
608,11.716
609,11.658
610,11.6
611,11.549999999999999
612,11.5
613,11.45
614,11.4
615,11.35
616,11.304
617,11.258
618,11.212
619,11.165999999999999
620,11.12
621,11.085999999999999
622,11.052
623,11.017999999999999
624,10.984
625,10.95
626,10.911999999999999
627,10.873999999999999
628,10.836
629,10.798
630,10.76
631,10.692
632,10.624
633,10.556
634,10.488
635,10.42
636,10.358
637,10.296
638,10.234
639,10.171999999999999
640,10.11
641,10.096
642,10.081999999999999
643,10.068
644,10.053999999999998
645,10.04
646,10.036
647,10.032
648,10.027999999999999
649,10.024
650,10.02
651,10.038
652,10.056
653,10.074
654,10.091999999999999
655,10.11
656,10.062
657,10.014
658,9.966
659,9.918
660,9.87
661,9.626
662,9.382
663,9.138
664,8.894
665,8.65
666,8.374
667,8.098
668,7.822
669,7.545999999999999
670,7.27
671,7.104
672,6.938
673,6.772
674,6.606
675,6.44
676,6.3180000000000005
677,6.196000000000001
678,6.074
679,5.952
680,5.83
681,5.746
682,5.662
683,5.578
684,5.494
685,5.41
686,5.336
687,5.2620000000000005
688,5.188
689,5.114
690,5.04
691,4.946
692,4.852
693,4.758
694,4.664000000000001
695,4.57
696,4.48
697,4.390000000000001
698,4.3
699,4.21
700,4.12
701,4.05
702,3.98
703,3.91
704,3.84
705,3.77
706,3.708
707,3.646
708,3.584
709,3.522
710,3.46
711,3.384
712,3.308
713,3.232
714,3.156
715,3.08
716,3.0100000000000002
717,2.94
718,2.87
719,2.8
720,2.73
721,2.678
722,2.626
723,2.5740000000000003
724,2.5220000000000002
725,2.47
726,2.426
727,2.382
728,2.338
729,2.294
730,2.25
731,2.212
732,2.174
733,2.136
734,2.098
735,2.06
736,2.028
737,1.996
738,1.964
739,1.932
740,1.9
741,1.8699999999999999
742,1.8399999999999999
743,1.81
744,1.78
745,1.75
746,1.724
747,1.698
748,1.6720000000000002
749,1.6460000000000001
750,1.62
751,1.604
752,1.588
753,1.572
754,1.556
755,1.54
756,1.522
757,1.504
758,1.486
759,1.468
760,1.45
761,1.424
762,1.398
763,1.372
764,1.346
765,1.32
766,1.29
767,1.26
768,1.23
769,1.2
770,1.17
771,1.134
772,1.0979999999999999
773,1.062
774,1.026
775,0.99
776,0.954
777,0.918
778,0.882
779,0.8460000000000001
780,0.81
