wavelength,value
380,1.87
381,1.9660000000000002
382,2.0620000000000003
383,2.158
384,2.254
385,2.35
386,2.464
387,2.578
388,2.692
389,2.806
390,2.92
391,3.026
392,3.132
393,3.238
394,3.3440000000000003
395,3.45
396,3.7800000000000002
397,4.11
398,4.4399999999999995
399,4.77
400,5.1
401,7.862
402,10.623999999999999
403,13.386
404,16.148
405,18.91
406,16.328
407,13.746
408,11.164000000000001
409,8.582
410,6.0
411,6.022
412,6.0440000000000005
413,6.066
414,6.088
415,6.11
416,6.258
417,6.406
418,6.554
419,6.702
420,6.85
421,6.9959999999999996
422,7.1419999999999995
423,7.288
424,7.434
425,7.58
426,7.726
427,7.872
428,8.018
429,8.164
430,8.31
431,14.8
432,21.29
433,27.779999999999998
434,34.269999999999996
435,40.76
436,35.82
437,30.88
438,25.939999999999998
439,21.0
440,16.06
441,14.911999999999999
442,13.764
443,12.616
444,11.468
445,10.32
446,10.438
447,10.556000000000001
448,10.674
449,10.792
450,10.91
451,11.008000000000001
452,11.106
453,11.204
454,11.302
455,11.4
456,11.486
457,11.572000000000001
458,11.658
459,11.744
460,11.83
461,11.898
462,11.966
463,12.034
464,12.102
465,12.17
466,12.216
467,12.262
468,12.308
469,12.354000000000001
470,12.4
471,12.428
472,12.456
473,12.484
474,12.511999999999999
475,12.54
476,12.548
477,12.556
478,12.564
479,12.572
480,12.58
481,12.568
482,12.556
483,12.544
484,12.532
485,12.52
486,12.51
487,12.5
488,12.49
489,12.48
490,12.47
491,12.416
492,12.362
493,12.308
494,12.254
495,12.2
496,12.138
497,12.076
498,12.014
499,11.952
500,11.89
501,11.834
502,11.778
503,11.722
504,11.666
505,11.61
506,11.554
507,11.498
508,11.442
509,11.386
510,11.33
511,11.284
512,11.238
513,11.192
514,11.145999999999999
515,11.1
516,11.072
517,11.044
518,11.016
519,10.988000000000001
520,10.96
521,10.962000000000002
522,10.964
523,10.966000000000001
524,10.968
525,10.97
526,11.008000000000001
527,11.046000000000001
528,11.084
529,11.122
530,11.16
531,11.236
532,11.312
533,11.388
534,11.463999999999999
535,11.54
536,11.655999999999999
537,11.771999999999998
538,11.888
539,12.004
540,12.12
541,15.251999999999999
542,18.384
543,21.516000000000002
544,24.648000000000003
545,27.78
546,25.77
547,23.76
548,21.75
549,19.740000000000002
550,17.73
551,17.078
552,16.426000000000002
553,15.774000000000001
554,15.122
555,14.47
556,14.616
557,14.762
558,14.908
559,15.054
560,15.2
561,15.314
562,15.427999999999999
563,15.542
564,15.655999999999999
565,15.77
566,15.836
567,15.902000000000001
568,15.968
569,16.034000000000002
570,16.1
571,16.588
572,17.076
573,17.564
574,18.052
575,18.54
576,18.732
577,18.924
578,19.116
579,19.308
580,19.5
581,18.678
582,17.856
583,17.034
584,16.212
585,15.39
586,15.24
587,15.09
588,14.940000000000001
589,14.790000000000001
590,14.64
591,14.456000000000001
592,14.272
593,14.088000000000001
594,13.904
595,13.72
596,13.514000000000001
597,13.308
598,13.102
599,12.895999999999999
600,12.69
601,12.466
602,12.241999999999999
603,12.018
604,11.794
605,11.57
606,11.346
607,11.122
608,10.898
609,10.674
610,10.45
611,10.229999999999999
612,10.01
613,9.79
614,9.57
615,9.35
616,9.138
617,8.926
618,8.713999999999999
619,8.501999999999999
620,8.29
621,8.096
622,7.901999999999999
623,7.708
624,7.514
625,7.32
626,7.138
627,6.956
628,6.774
629,6.5920000000000005
630,6.41
631,6.2540000000000004
632,6.098
633,5.942
634,5.786
635,5.63
636,5.484
637,5.338
638,5.192
639,5.046
640,4.9
641,4.772
642,4.644
643,4.516
644,4.388
645,4.26
646,4.152
647,4.044
648,3.936
649,3.8280000000000003
650,3.72
651,3.6260000000000003
652,3.532
653,3.438
654,3.344
655,3.25
656,3.166
657,3.082
658,2.998
659,2.914
660,2.83
661,2.762
662,2.694
663,2.6260000000000003
664,2.5580000000000003
665,2.49
666,2.43
667,2.37
668,2.31
669,2.25
670,2.19
671,2.138
672,2.086
673,2.034
674,1.982
675,1.93
676,1.886
677,1.8419999999999999
678,1.798
679,1.754
680,1.71
681,1.672
682,1.634
683,1.596
684,1.558
685,1.52
686,1.512
687,1.504
688,1.496
689,1.488
690,1.48
691,1.436
692,1.392
693,1.348
694,1.304
695,1.26
696,1.234
697,1.208
698,1.182
699,1.156
700,1.13
701,1.1139999999999999
702,1.0979999999999999
703,1.082
704,1.066
705,1.05
706,1.032
707,1.014
708,0.996
709,0.978
710,0.96
711,0.938
712,0.9159999999999999
713,0.894
714,0.872
715,0.85
716,0.836
717,0.822
718,0.808
719,0.794
720,0.78
721,0.768
722,0.756
723,0.744
724,0.732
725,0.72
726,0.712
727,0.704
728,0.6960000000000001
729,0.6880000000000001
730,0.68
731,0.678
732,0.676
733,0.674
734,0.672
735,0.67
736,0.666
737,0.662
738,0.658
739,0.654
740,0.65
741,0.642
742,0.634
743,0.626
744,0.618
745,0.61
746,0.612
747,0.614
748,0.616
749,0.618
750,0.62
751,0.614
752,0.608
753,0.602
754,0.596
755,0.59
756,0.596
757,0.602
758,0.608
759,0.614
760,0.62
761,0.624
762,0.628
763,0.632
764,0.636
765,0.64
766,0.622
767,0.604
768,0.5860000000000001
769,0.5680000000000001
770,0.55
771,0.534
772,0.518
773,0.502
774,0.486
775,0.47
776,0.45599999999999996
777,0.442
778,0.428
779,0.41400000000000003
780,0.4
