cct,u,v
1000.0,0.44801079990356485,0.35462499002223313
1002.5,0.44742607684603647,0.3546756351394761
1005.0062499999999,0.4468414481074797,0.3547261750802911
1007.5187656249998,0.44625691983581045,0.3547766082912389
1010.0375625390623,0.44567249815621135,0.3548269332156437
1012.56265644541,0.4450881891710144,0.3548771482936212
1015.0940630865233,0.4445039989595844,0.35492725196210845
1017.6317982442396,0.44391993357820686,0.35497724265489333
1020.1758777398502,0.443335999059975,0.3550271188026442
1022.7263174341998,0.44275220141468313,0.3550768788329414
1025.2831332277851,0.44216854662871796,0.3551265211703078
1027.8463410608545,0.4415850406649552,0.35517604423624066
1030.4159569135068,0.4410016894626572,0.3552254464492439
1032.9919968057904,0.44041849893737356,0.35527472622486084
1035.574476797805,0.4398354749808429,0.35532388197570725
1038.163412989799,0.4392526234608972,0.3553729121115051
1040.7588215222736,0.4386699502213694,0.3554218150391174
1043.3607185760793,0.4380874610820022,0.3554705891625819
1045.9691203725195,0.437505161838359,0.3555192328831476
1048.5840431734507,0.4369230582617379,0.3555677445993099
1051.2055032813844,0.4363411560990872,0.3556161227068472
1053.8335170395876,0.43575946107292296,0.35566436559885783
1056.4681008321866,0.43517797888125026,0.35571247166579734
1059.1092710842672,0.43459671519748394,0.3557604392955171
1061.7570442619776,0.43401567567037486,0.355808266873302
1064.4114368726325,0.4334348659239349,0.3558559527819103
1067.072465464814,0.4328542915573672,0.3559034954016128
1069.740146628476,0.4322739581449963,0.35595089311023326
1072.414496995047,0.431693871236202,0.3559981442831892
1075.0955332375347,0.4311140363553542,0.3560452472935329
1077.7832720706283,0.4305344590017505,0.35609220051199353
1080.477730250805,0.429955144649556,0.3561390023070195
1083.178924576432,0.4293760987477445,0.35618565104482136
1085.886871887873,0.42879732672004334,0.35623214508941514
1088.6015890675926,0.42821883396487803,0.356278482802667
1091.3230930402615,0.42764062585532114,0.356324662544337
1094.051400772862,0.4270627077390421,0.3563706826721252
1096.7865292747942,0.42648508493825954,0.356416541541717
1099.5284955979812,0.4259077627496949,0.35646223750682876
