wavelength,CES01,CES02,CES03,CES04,CES05,CES06,CES07,CES08,CES09,CES10,CES11,CES12,CES13,CES14,CES15,CES16,CES17,CES18,CES19,CES20,CES21,CES22,CES23,CES24,CES25,CES26,CES27,CES28,CES29,CES30,CES31,CES32,CES33,CES34,CES35,CES36,CES37,CES38,CES39,CES40,CES41,CES42,CES43,CES44,CES45,CES46,CES47,CES48,CES49,CES50,CES51,CES52,CES53,CES54,CES55,CES56,CES57,CES58,CES59,CES60,CES61,CES62,CES63,CES64,CES65,CES66,CES67,CES68,CES69,CES70,CES71,CES72,CES73,CES74,CES75,CES76,CES77,CES78,CES79,CES80,CES81,CES82,CES83,CES84,CES85,CES86,CES87,CES88,CES89,CES90,CES91,CES92,CES93,CES94,CES95,CES96,CES97,CES98,CES99
430,0.6508,0.2663,0.04199,0.34936,0.13327,0.14015,0.0572,0.05795,0.04441,0.19473,0.08644,0.09483,0.04496,0.3513,0.2089,0.04349,0.05253,0.0918,0.1232,0.02572,0.17167,0.08233,0.50041,0.282,0.05832,0.1613,0.1798,0.04456,0.07483,0.04618,0.09712,0.044,0.22921,0.04433,0.0498,0.30712,0.051,0.16431,0.04823,0.07801,0.4577,0.06414,0.0489,0.0461,0.06364,0.128,0.1601,0.14474,0.04681,0.11919,0.15303,0.05853,0.0905,0.5862,0.51775,0.32158,0.1677,0.16259,0.6756,0.66908,0.48618,0.27899,0.06429,0.29488,0.11875,0.1655,0.2042,0.38457,0.2163,0.61261,0.1034,0.51874,0.43737,0.04508,0.1076,0.4175,0.24649,0.32944,0.65031,0.54733,0.355,0.7779,0.6159,0.05597,0.13166,0.5952,0.21099,0.5028,0.16927,0.2703,0.45479,0.24497,0.36925,0.13629,0.39144,0.55592,0.2342,0.35855,0.2234
435,0.64823,0.26349,0.04896,0.342,0.12595,0.13946,0.05744,0.0579,0.04516,0.19149,0.0852,0.09767,0.04572,0.35261,0.22103,0.04531,0.05346,0.09696,0.12298,0.02242,0.17114,0.08564,0.50937,0.28135,0.0584,0.16571,0.20758,0.04653,0.08683,0.05858,0.11108,0.04679,0.24063,0.04464,0.04932,0.35739,0.05177,0.21014,0.04925,0.0795,0.47231,0.0654,0.0495,0.04629,0.06536,0.13152,0.1697,0.17179,0.04748,0.12413,0.15937,0.05937,0.09403,0.60333,0.53774,0.33253,0.17857,0.17128,0.6783,0.6837,0.49915,0.29357,0.06519,0.30635,0.12207,0.17467,0.21573,0.39997,0.2254,0.63672,0.11814,0.52556,0.48744,0.04678,0.11962,0.43808,0.26234,0.37206,0.65295,0.55847,0.35271,0.78171,0.61213,0.05829,0.1495,0.59176,0.22114,0.49313,0.17537,0.26063,0.5015,0.26321,0.38105,0.14162,0.42267,0.5681,0.23707,0.35975,0.21695
440,0.644,0.259,0.05457,0.33382,0.11738,0.13788,0.0576,0.05764,0.04596,0.18842,0.08358,0.09829,0.04625,0.3538,0.23492,0.04737,0.0547,0.1025,0.123,0.02035,0.17068,0.08976,0.51814,0.281,0.05462,0.1717,0.22587,0.04711,0.1027,0.07378,0.1271,0.0505,0.25764,0.04511,0.04899,0.40413,0.053,0.26265,0.05039,0.0813,0.4895,0.06682,0.0509,0.0465,0.06841,0.1362,0.182,0.20227,0.04889,0.12931,0.16583,0.06059,0.098,0.6204,0.55789,0.34437,0.1916,0.18103,0.6805,0.69721,0.51039,0.30976,0.0665,0.31906,0.1255,0.1854,0.2291,0.41415,0.23381,0.65857,0.1336,0.53162,0.53051,0.04885,0.1322,0.4568,0.27425,0.40977,0.65239,0.5672,0.34519,0.7845,0.6071,0.06004,0.1582,0.58448,0.23055,0.48116,0.1816,0.249,0.53963,0.27932,0.39054,0.14547,0.44627,0.57702,0.2381,0.3565,0.2092
445,0.63825,0.25241,0.05674,0.32411,0.10794,0.13541,0.05763,0.05729,0.04681,0.18529,0.08121,0.09474,0.04641,0.35499,0.24851,0.04944,0.05623,0.10789,0.12334,0.01859,0.17047,0.09456,0.5263,0.28161,0.0529,0.17895,0.24072,0.04794,0.12281,0.09711,0.14513,0.05522,0.28283,0.04589,0.04883,0.44397,0.0549,0.31889,0.0516,0.08347,0.50977,0.06845,0.05356,0.04676,0.07063,0.14245,0.19737,0.23616,0.05103,0.13467,0.17226,0.06229,0.10263,0.63907,0.57898,0.35808,0.20654,0.19242,0.68332,0.70918,0.51992,0.32796,0.06835,0.33377,0.1285,0.19798,0.24431,0.4269,0.24136,0.67805,0.14925,0.53716,0.55904,0.05133,0.14512,0.47192,0.28313,0.43567,0.64837,0.5734,0.33814,0.78682,0.60152,0.06105,0.16275,0.57575,0.237,0.46804,0.1823,0.23663,0.56762,0.29203,0.39975,0.14718,0.45905,0.5796,0.23625,0.34789,0.201
450,0.6301,0.2431,0.0541,0.31282,0.09819,0.13217,0.0573,0.05707,0.04771,0.18231,0.07806,0.09395,0.04644,0.3562,0.26083,0.05166,0.05805,0.1129,0.1238,0.01787,0.17068,0.09986,0.53427,0.2832,0.05304,0.1876,0.25486,0.04801,0.14711,0.12843,0.16551,0.0613,0.31841,0.04721,0.04885,0.47549,0.057,0.37622,0.05297,0.08625,0.5333,0.0705,0.0582,0.047,0.07333,0.1507,0.2162,0.27292,0.05418,0.14052,0.17913,0.06471,0.1086,0.6589,0.60125,0.37612,0.2238,0.20673,0.6869,0.71973,0.52806,0.34749,0.0708,0.3515,0.13206,0.213,0.262,0.43836,0.24814,0.69495,0.1652,0.54203,0.57419,0.05391,0.1587,0.4812,0.29062,0.4479,0.64415,0.57683,0.33335,0.7882,0.5944,0.06153,0.17107,0.56542,0.23849,0.45465,0.17906,0.2239,0.58708,0.2999,0.40839,0.147,0.4639,0.57732,0.2309,0.3344,0.1926
455,0.61895,0.23086,0.05487,0.29816,0.08868,0.12835,0.05646,0.05715,0.04862,0.17978,0.07423,0.09191,0.04655,0.35738,0.27135,0.05419,0.06016,0.11747,0.12417,0.01943,0.1715,0.10554,0.5426,0.28567,0.0521,0.19777,0.26272,0.04537,0.17523,0.16071,0.1885,0.06913,0.36487,0.04923,0.04903,0.49917,0.05875,0.4306,0.05453,0.08964,0.55996,0.07328,0.06544,0.04714,0.07831,0.16141,0.23886,0.31153,0.05879,0.14714,0.1868,0.06784,0.11658,0.67891,0.62458,0.40032,0.24394,0.22518,0.69119,0.72912,0.53497,0.36733,0.07393,0.3731,0.13733,0.23107,0.28281,0.44837,0.25399,0.7089,0.18141,0.54598,0.57916,0.05623,0.17307,0.48293,0.2948,0.44654,0.64297,0.57723,0.32585,0.78804,0.58478,0.06171,0.17496,0.55287,0.23384,0.44164,0.17458,0.21107,0.60061,0.3027,0.41539,0.14528,0.46464,0.57245,0.22182,0.31699,0.18414
460,0.6063,0.2175,0.05908,0.27982,0.07978,0.12428,0.0553,0.05725,0.04936,0.17804,0.06998,0.08603,0.04635,0.3585,0.28027,0.05696,0.06249,0.1218,0.1245,0.02472,0.17316,0.11177,0.55151,0.289,0.05075,0.209,0.26805,0.04556,0.20611,0.18945,0.21364,0.0789,0.41631,0.05164,0.04929,0.51519,0.06,0.47844,0.05595,0.09243,0.5888,0.07725,0.0751,0.0472,0.0847,0.1752,0.2656,0.3494,0.06559,0.15412,0.19471,0.07048,0.1267,0.698,0.64804,0.42836,0.2674,0.24804,0.6965,0.73751,0.53987,0.38621,0.07801,0.39842,0.14467,0.2524,0.3068,0.45536,0.25741,0.71896,0.1967,0.54903,0.57668,0.05798,0.1869,0.4779,0.29517,0.43439,0.64445,0.57441,0.31343,0.7862,0.5736,0.06143,0.17395,0.53821,0.22469,0.42903,0.16856,0.1987,0.6085,0.30154,0.41877,0.1418,0.46288,0.56571,0.2098,0.29728,0.1758
465,0.59361,0.20471,0.06075,0.26042,0.07182,0.12021,0.05406,0.05711,0.04981,0.17718,0.06554,0.08133,0.04557,0.35955,0.28799,0.05989,0.06492,0.12611,0.12484,0.03577,0.17586,0.11877,0.56099,0.2933,0.05128,0.22112,0.27812,0.04574,0.23842,0.21301,0.24081,0.09077,0.46632,0.05427,0.0496,0.524,0.06073,0.51829,0.05698,0.09371,0.61854,0.08275,0.08761,0.04724,0.09311,0.19261,0.2965,0.38408,0.07524,0.16118,0.20244,0.07175,0.139,0.71523,0.67049,0.45815,0.29427,0.27486,0.70332,0.745,0.5422,0.40281,0.08318,0.42668,0.15417,0.2766,0.3333,0.4581,0.25724,0.72438,0.20953,0.55122,0.56907,0.05898,0.19843,0.46766,0.29327,0.41472,0.64684,0.56815,0.30296,0.78261,0.56173,0.06054,0.1737,0.52174,0.21322,0.41662,0.16017,0.18718,0.61064,0.29826,0.41719,0.13637,0.45926,0.55731,0.19595,0.27687,0.16773
470,0.5802,0.1918,0.06259,0.24078,0.06508,0.116,0.0529,0.05685,0.05008,0.17637,0.06091,0.07541,0.04496,0.3607,0.2948,0.06299,0.06732,0.1304,0.1251,0.0565,0.17962,0.12662,0.57041,0.2991,0.053,0.2356,0.28681,0.04704,0.27043,0.23025,0.27189,0.105,0.5129,0.05796,0.05029,0.52781,0.061,0.55029,0.05791,0.0948,0.6475,0.08966,0.1066,0.0474,0.10313,0.2137,0.331,0.41516,0.08795,0.1693,0.21118,0.07306,0.1538,0.7305,0.69066,0.49262,0.3234,0.30339,0.7126,0.75159,0.54344,0.416,0.08883,0.45565,0.16581,0.3011,0.3594,0.45804,0.25494,0.72576,0.2182,0.55254,0.55741,0.05937,0.2055,0.4543,0.28875,0.39001,0.64673,0.55801,0.29343,0.7771,0.5479,0.05935,0.17216,0.50366,0.20076,0.40401,0.1494,0.1759,0.60879,0.29386,0.41283,0.12955,0.45279,0.54695,0.1817,0.25673,0.1598
475,0.56548,0.17813,0.06304,0.22206,0.05976,0.11157,0.05192,0.05663,0.05044,0.17467,0.05612,0.06828,0.04556,0.36205,0.30093,0.06628,0.06952,0.13466,0.12518,0.08996,0.1843,0.13529,0.57915,0.30695,0.05316,0.25362,0.29048,0.04889,0.30066,0.2386,0.30813,0.1218,0.55466,0.06361,0.05178,0.5287,0.06109,0.57599,0.05932,0.09794,0.67396,0.09786,0.13515,0.04779,0.11523,0.23822,0.368,0.44282,0.10363,0.18,0.22283,0.07679,0.17152,0.74379,0.70754,0.53399,0.35336,0.33116,0.72513,0.75729,0.54563,0.42493,0.09427,0.48271,0.17902,0.32295,0.38192,0.45745,0.25267,0.72392,0.2214,0.553,0.54267,0.05937,0.20636,0.43959,0.28176,0.36265,0.64119,0.5436,0.27907,0.76964,0.53111,0.05833,0.16727,0.48437,0.18829,0.39068,0.13679,0.16417,0.60406,0.28892,0.40771,0.12194,0.44269,0.53443,0.16814,0.23768,0.15183
