wavelength,value
380,1.87
381,1.968
382,2.066
383,2.164
384,2.262
385,2.36
386,2.476
387,2.592
388,2.7079999999999997
389,2.824
390,2.94
391,3.046
392,3.152
393,3.258
394,3.3640000000000003
395,3.47
396,3.81
397,4.15
398,4.49
399,4.83
400,5.17
401,8.033999999999999
402,10.898
403,13.762
404,16.625999999999998
405,19.49
406,16.817999999999998
407,14.145999999999999
408,11.474
409,8.802
410,6.13
411,6.152
412,6.174
413,6.196
414,6.218
415,6.24
416,6.394
417,6.548
418,6.702
419,6.856
420,7.01
421,7.1659999999999995
422,7.322
423,7.478
424,7.634
425,7.79
426,7.944
427,8.098
428,8.252
429,8.406
430,8.56
431,15.582
432,22.604
433,29.626
434,36.648
435,43.67
436,38.324
437,32.978
438,27.632
439,22.286
440,16.94
441,15.696000000000002
442,14.452000000000002
443,13.208
444,11.964
445,10.72
446,10.846
447,10.972
448,11.098
449,11.224
450,11.35
451,11.458
452,11.566
453,11.674
454,11.782
455,11.89
456,11.986
457,12.082
458,12.177999999999999
459,12.274
460,12.37
461,12.446
462,12.522
463,12.597999999999999
464,12.674
465,12.75
466,12.8
467,12.85
468,12.9
469,12.95
470,13.0
471,13.03
472,13.06
473,13.09
474,13.120000000000001
475,13.15
476,13.166
477,13.182
478,13.198
479,13.214
480,13.23
481,13.218
482,13.206
483,13.194
484,13.182
485,13.17
486,13.162
487,13.154
488,13.146
489,13.138
490,13.13
491,13.074
492,13.018
493,12.962
494,12.906
495,12.85
496,12.783999999999999
497,12.718
498,12.652
499,12.586
500,12.52
501,12.456
502,12.392
503,12.328
504,12.264
505,12.2
506,12.126
507,12.052
508,11.978
509,11.904
510,11.83
511,11.764
512,11.698
513,11.632
514,11.566
515,11.5
516,11.444
517,11.388
518,11.332
519,11.276
520,11.22
521,11.186
522,11.152000000000001
523,11.118
524,11.084000000000001
525,11.05
526,11.046000000000001
527,11.042
528,11.038
529,11.033999999999999
530,11.03
531,11.059999999999999
532,11.09
533,11.12
534,11.15
535,11.18
536,11.25
537,11.32
538,11.389999999999999
539,11.459999999999999
540,11.53
541,14.771999999999998
542,18.014
543,21.256
544,24.497999999999998
545,27.74
546,25.602
547,23.464
548,21.326
549,19.188000000000002
550,17.05
551,16.35
552,15.65
553,14.950000000000001
554,14.25
555,13.55
556,13.706000000000001
557,13.862
558,14.018
559,14.174
560,14.33
561,14.466
562,14.602
563,14.738
564,14.874
565,15.01
566,15.112
567,15.214
568,15.315999999999999
569,15.418
570,15.52
571,16.073999999999998
572,16.628
573,17.182
574,17.736
575,18.29
576,18.541999999999998
577,18.794
578,19.046
579,19.298000000000002
580,19.55
581,18.736
582,17.922
583,17.108
584,16.294
585,15.48
586,15.366
587,15.252
588,15.138
589,15.024000000000001
590,14.91
591,14.758000000000001
592,14.606
593,14.454
594,14.302
595,14.15
596,13.964
597,13.778
598,13.592
599,13.406
600,13.22
601,13.014000000000001
602,12.808
603,12.602
604,12.395999999999999
605,12.19
606,11.975999999999999
607,11.761999999999999
608,11.548
609,11.334
610,11.12
611,10.902
612,10.684
613,10.466
614,10.248
615,10.03
616,9.814
617,9.597999999999999
618,9.382
619,9.165999999999999
620,8.95
621,8.751999999999999
622,8.554
623,8.356
624,8.158
625,7.96
626,7.772
627,7.584
628,7.396
629,7.207999999999999
630,7.02
631,6.856
632,6.692
633,6.528
634,6.364
635,6.2
636,6.0440000000000005
637,5.888
638,5.732
639,5.576
640,5.42
641,5.282
642,5.144
643,5.006
644,4.868
645,4.73
646,4.614000000000001
647,4.498
648,4.382000000000001
649,4.266
650,4.15
651,4.048
652,3.946
653,3.8440000000000003
654,3.742
655,3.64
656,3.552
657,3.464
658,3.3760000000000003
659,3.2880000000000003
660,3.2
661,3.1220000000000003
662,3.044
663,2.966
664,2.888
665,2.81
666,2.742
667,2.674
668,2.6060000000000003
669,2.5380000000000003
670,2.47
671,2.4120000000000004
672,2.354
673,2.2960000000000003
674,2.238
675,2.18
676,2.13
677,2.08
678,2.0300000000000002
679,1.98
680,1.93
681,1.888
682,1.8459999999999999
683,1.804
684,1.762
685,1.72
686,1.71
687,1.7
688,1.69
689,1.68
690,1.67
691,1.6219999999999999
692,1.5739999999999998
693,1.526
694,1.478
695,1.43
696,1.402
697,1.3739999999999999
698,1.346
699,1.318
700,1.29
701,1.27
702,1.25
703,1.23
704,1.21
705,1.19
706,1.168
707,1.146
708,1.124
709,1.102
710,1.08
711,1.056
712,1.032
713,1.008
714,0.984
715,0.96
716,0.944
717,0.9279999999999999
718,0.912
719,0.896
720,0.88
721,0.866
722,0.852
723,0.8380000000000001
724,0.8240000000000001
725,0.81
726,0.802
727,0.794
728,0.786
729,0.778
730,0.77
731,0.766
732,0.762
733,0.758
734,0.754
735,0.75
736,0.746
737,0.742
738,0.738
739,0.734
740,0.73
741,0.72
742,0.71
743,0.7000000000000001
744,0.6900000000000001
745,0.68
746,0.682
747,0.684
748,0.6859999999999999
749,0.688
750,0.69
751,0.6799999999999999
752,0.6699999999999999
753,0.66
754,0.65
755,0.64
756,0.648
757,0.656
758,0.664
759,0.672
760,0.68
761,0.682
762,0.684
763,0.6859999999999999
764,0.688
765,0.69
766,0.6739999999999999
767,0.6579999999999999
768,0.642
769,0.626
770,0.61
771,0.592
772,0.574
773,0.556
774,0.538
775,0.52
776,0.502
777,0.484
778,0.466
779,0.448
780,0.43
