wavelength,value
380,0.96
381,0.896
382,0.832
383,0.768
384,0.704
385,0.64
386,0.592
387,0.544
388,0.496
389,0.448
390,0.4
391,0.386
392,0.372
393,0.35800000000000004
394,0.34400000000000003
395,0.33
396,0.502
397,0.6739999999999999
398,0.846
399,1.018
400,1.19
401,3.448
402,5.7059999999999995
403,7.964
404,10.222
405,12.48
406,10.208
407,7.936000000000001
408,5.6640000000000015
409,3.3920000000000012
410,1.12
411,1.084
412,1.048
413,1.012
414,0.976
415,0.94
416,0.968
417,0.996
418,1.024
419,1.052
420,1.08
421,1.1380000000000001
422,1.1960000000000002
423,1.254
424,1.312
425,1.37
426,1.4520000000000002
427,1.534
428,1.616
429,1.698
430,1.78
431,7.234
432,12.687999999999999
433,18.142
434,23.596
435,29.05
436,24.82
437,20.590000000000003
438,16.360000000000003
439,12.130000000000003
440,7.9
441,6.8500000000000005
442,5.800000000000001
443,4.75
444,3.7
445,2.65
446,2.662
447,2.674
448,2.686
449,2.698
450,2.71
451,2.698
452,2.686
453,2.674
454,2.662
455,2.65
456,2.618
457,2.586
458,2.5540000000000003
459,2.5220000000000002
460,2.49
461,2.458
462,2.426
463,2.394
464,2.362
465,2.33
466,2.2840000000000003
467,2.238
468,2.192
469,2.146
470,2.1
471,2.0620000000000003
472,2.024
473,1.986
474,1.948
475,1.91
476,2.13
477,2.3499999999999996
478,2.57
479,2.79
480,3.01
481,4.574
482,6.138
483,7.702
484,9.266
485,10.83
486,11.040000000000001
487,11.25
488,11.46
489,11.67
490,11.88
491,10.88
492,9.88
493,8.88
494,7.88
495,6.88
496,6.1899999999999995
497,5.5
498,4.8100000000000005
499,4.12
500,3.43
501,3.0420000000000003
502,2.654
503,2.266
504,1.8780000000000001
505,1.49
506,1.376
507,1.262
508,1.1480000000000001
509,1.034
510,0.92
511,0.878
512,0.836
513,0.794
514,0.752
515,0.71
516,0.688
517,0.6659999999999999
518,0.644
519,0.622
520,0.6
521,0.606
522,0.612
523,0.618
524,0.624
525,0.63
526,0.724
527,0.8180000000000001
528,0.912
529,1.006
530,1.1
531,1.792
532,2.484
533,3.176
534,3.868
535,4.56
536,10.527999999999999
537,16.496
538,22.464
539,28.432
540,34.4
541,40.6
542,46.8
543,53.0
544,59.2
545,65.4
546,58.21600000000001
547,51.032000000000004
548,43.848000000000006
549,36.664
550,29.48
551,25.016
552,20.552
553,16.088
554,11.623999999999999
555,7.16
556,6.344
557,5.5280000000000005
558,4.712
559,3.896
560,3.08
561,2.958
562,2.8360000000000003
563,2.714
564,2.592
565,2.47
566,2.43
567,2.39
568,2.35
569,2.31
570,2.27
571,2.834
572,3.3979999999999997
573,3.9619999999999997
574,4.526
575,5.09
576,6.464
577,7.838
578,9.212
579,10.586
580,11.96
581,12.632000000000001
582,13.304
583,13.976
584,14.648
585,15.32
586,15.11
587,14.9
588,14.69
589,14.48
590,14.27
591,13.788
592,13.306
593,12.824
594,12.341999999999999
595,11.86
596,11.344
597,10.828
598,10.312
599,9.796
600,9.28
601,9.886
602,10.491999999999999
603,11.098
604,11.704
605,12.31
606,23.554000000000002
607,34.798
608,46.042
609,57.286
610,68.53
611,65.428
612,62.326
613,59.224000000000004
614,56.122
615,53.02
616,45.35
617,37.68000000000001
618,30.010000000000005
619,22.340000000000003
620,14.67
621,14.612
622,14.554
623,14.496
624,14.438
625,14.38
626,14.446000000000002
627,14.512
628,14.578000000000001
629,14.644
630,14.71
631,13.06
632,11.41
633,9.760000000000002
634,8.110000000000001
635,6.46
636,5.682
637,4.904
638,4.1259999999999994
639,3.348
640,2.57
641,2.606
642,2.642
643,2.678
644,2.714
645,2.75
646,3.036
647,3.322
648,3.6079999999999997
649,3.8939999999999997
650,4.18
651,4.032
652,3.884
653,3.7359999999999998
654,3.588
655,3.44
656,3.314
657,3.188
658,3.062
659,2.936
660,2.81
661,2.732
662,2.654
663,2.576
664,2.4979999999999998
665,2.42
666,2.264
667,2.108
668,1.952
669,1.7959999999999998
670,1.64
671,1.5839999999999999
672,1.528
673,1.472
674,1.4160000000000001
675,1.36
676,1.3860000000000001
677,1.4120000000000001
678,1.438
679,1.464
680,1.49
681,1.62
682,1.75
683,1.8800000000000001
684,2.0100000000000002
685,2.14
686,2.18
687,2.22
688,2.26
689,2.3
690,2.34
691,2.1559999999999997
692,1.972
693,1.7879999999999998
694,1.6039999999999999
695,1.42
696,1.458
697,1.496
698,1.534
699,1.572
700,1.61
701,2.2960000000000003
702,2.982
703,3.668
704,4.354
705,5.04
706,5.428
707,5.816
708,6.204000000000001
709,6.5920000000000005
710,6.98
711,6.222
712,5.464
713,4.706
714,3.948
715,3.19
716,2.694
717,2.198
718,1.702
719,1.206
720,0.71
721,0.628
722,0.546
723,0.46399999999999997
724,0.382
725,0.3
726,0.292
727,0.284
728,0.276
729,0.268
730,0.26
731,0.254
732,0.248
733,0.24200000000000002
734,0.23600000000000002
735,0.23
736,0.24000000000000002
737,0.25
738,0.26
739,0.27
740,0.28
741,0.28
742,0.28
743,0.28
744,0.28
745,0.28
746,0.266
747,0.252
748,0.23800000000000002
749,0.224
750,0.21
751,0.20199999999999999
752,0.194
753,0.186
754,0.178
755,0.17
756,0.17800000000000002
757,0.186
758,0.194
759,0.202
760,0.21
761,0.206
762,0.20199999999999999
763,0.198
764,0.194
765,0.19
766,0.182
767,0.174
768,0.166
769,0.158
770,0.15
771,0.13999999999999999
772,0.13
773,0.12
774,0.11
775,0.1
776,0.09000000000000001
777,0.08
778,0.07
779,0.060000000000000005
780,0.05
